,question,answer,task
1808,"Final common pathway of metabolism of carbohydrate, lipids and protein metabolism is?","TCA. ANSWER: (C) TCAREF: Lippincott's biochemistry 4th ed page 109, Harper's 28th ed page 306See Biochemistry 2013 Session 2 for details of TCA/kerb cycle cyde is an aerobic pathway, because O2. is required as the final electron acceptor. Most of the body's catabolic pathways converge on the TCA cyde. Reactions such as the catabolism of some amino adds generate intermediates of the cycle and are called anaplerotic reactions. The citric add cycle also participates in a number of important synthetic reactions. For example, the cycle functions in the formation of glucose from the carbon skeletons of some amino acids, and it provides building blocks for the synthesis of some amino acids and heme.",open_response
1809,Qukk Reduction of blood pressure is done in ,"Hypeensive encephalopathy. blood pressure should be lowered rapidly in patients with hypeensive encephalopathy, there are inherent risks of overly aggressive therapy. In hypeensive individuals, the upper and lower limits of autoregulation of cerebral blood flow are shifted to higher levels of aerial pressure, and rapid lowering of blood pressure to below the lower limit of autoregulation may precipitate cerebral ischemia or infarction as a consequence of decreasedcerebral blood flow. Renal and coronary blood flows also may decrease with overly aggressive acute therapy. The initial goal of therapy is to reduce mean aerial blood pressure by no more than 25% within minutes to 2 h or to a blood pressure in the range of 160/100-110 mmHg. This may be accomplished with IV nitroprusside, a sho-acting vasodilator with a rapid onset of action that allows for minute-to-minute control of blood pressure. Parenteral labetalol and nicardipine are also effective agents for the treatment of hypeensive encephalopathy. ref:Harrison&;s principles of internal medicine,ed 18,pg no 2059",open_response
1810,Type II paralysis in organophosphorous poisoning treatment is ,Symptomatic treatment,open_response
1811,Drug of choice for chronic myeloid Leukemia (CML) is:,"Imatinib. Imatinib mesylate is the drug of choice for the management of chronic myeloid leukemia. Imatinib mesylate is an inhibitor of tyrosine kinase activity on BCR-ABL proteins and thereby inducing apoptosis. It produces much better haematologic and cytogenetic responses than the previous standard therapy. Though IFN and hydroxyurea are used in the management of CML, Imatinib is the preferred drug in the options provided. So Imatinib is the single best answer of choice. Ref: Harrison's Principles of Internal Medicine, 16th Edition, Pages 638-40; Manual of Practical Medicine By R Alagappan, 3rd Edition, Page 348",open_response
1812,Glycogen storage disorder due to muscle phosphorylase deficiency,"Mcardle's disease. McArdle&;s disease: type V glycogen storage disease.Due to deficiency of muscle phosphorylase. Incidence 1 out of 1million.Ref: DM Vasudevan, 7th edition, page no: 144",open_response
1813,Aspirin triad is ,"Sampter's triad. ASA triad (also known as Samter's Triad) is characterized by nasal polyps, asthma and aspirin intolerance . Patients with this condition develop a special rash and/or asthmatic reaction, which can be life threatening, when they take aspirin or aspirin-related drugs (ibuprofen, others). Patients with ASA triad have severe asthma and rhinosinusitis. Even after appropriate sinus surgery, the polyps can return. Optimal treatment includes sinus surgery and medical management. Most patients with ASA triad require systemic and topical coicosteroids. Good asthma treatment is critical as well. Some centers employ aspirin desensitization, a specific technique to create aspirin tolerance, which seems to improve both the asthma and the rhinosinusitis. Ref - medscape.com",open_response
1814,"A 65-year old man presented with skin lesions on his chest and left arm and shoulder six weeks after returning from a cacation in Belize at the beach in the fain forest. The lesions occasionally stung, drained a dark exudates, and enlarged despite two weeks of treatment with cephalexin. The patient had no constitutional symptoms. Physical examination reveed five nodules of varying sizes with surrounding erythema and a central pore through which a single, moving larva was observed. The larvae coming out of the pores are","Dermatobia hominis. The human bot fly, Dermatobia hominis, is a parasite of humans, cattle, swine, cats, dogs, horses, sheep, and other mammals and a few birds in Mexico and Central and South America. The larvae feed under the skin, causing often episodically painful, swollen, draining cutaneous lesions with a typical air-pore . Ref Harrison20th edition pg 1078",open_response
1815,Provide the aqueous solubility for the structure c1ccccc1(OC(=O)NC).,-1.803,esol
1816,"Given the SMILES CCCCCCCC#C, compute its solubility value.",-4.24,esol
1817,Estimate the ESOL property of CCN(CC)c1nc(Cl)nc(NC(C)C)n1.,-3.785,esol
1818,"For the molecule COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2, return its solubility estimate.",-4.16,esol
1819,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: CCCCI,-2.96,esol
1820,"Given the SMILES CCN(CC)C(=O)CSc1ccc(Cl)nn1, compute its solubility value.",-1.716,esol
1821,Estimate the ESOL property of Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl .,-8.56,esol
1822,What is the predicted ESOL value for CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl?,-3.4930000000000003,esol
1823,Estimate the ESOL property of CCCN(=O)=O.,-0.8,esol
1824,Estimate the ESOL property of CCCCCCO.,-1.24,esol
1825,What is the solubility of Cc1ncnc2nccnc12 in water?,-0.466,esol
1826,"From the SMILES CCCCCBr, predict the ESOL property.",-3.08,esol
1827,What is the solubility of Cc1cccc2c(C)cccc12 in water?,-4.678999999999999,esol
1828,"Given the SMILES CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3, compute its solubility value.",-8.6,esol
1829,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: CCCC(C)O,-0.29,esol
1830,"For the molecule CC1CCCO1, return its solubility estimate.",0.11,esol
1831,"Given the SMILES CC(C)OC(=O)C, compute its solubility value.",-0.55,esol
1832,Provide the aqueous solubility for the structure C1CCCCCCC1.,-4.15,esol
1833,"For the molecule CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O, return its solubility estimate.",-5.53,esol
1834,How soluble is Cc1ccc2cc3ccccc3cc2c1 in water?,-6.96,esol
1835,Report the predicted ESOL value for CC1(C)CON(Cc2ccccc2Cl)C1=O.,-2.338,esol
1836,What is the predicted ESOL value for NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl ?,-3.05,esol
1837,"From the SMILES CC1(C)C2CCC1(C)C(O)C2, predict the ESOL property.",-2.32,esol
1838,What is the solubility of ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2 in water?,-7.2,esol
1839,How soluble is CCC in water?,-1.94,esol
1840,Report the predicted ESOL value for CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O.,-5.839,esol
1841,What is the predicted ESOL value for COc1ccc(NC(=O)N(C)C)cc1Cl?,-2.564,esol
1842,What is the predicted ESOL value for c1ccc2c(c1)c3cccc4ccc5cccc2c5c43?,-7.8,esol
1843,What is the solubility of Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F in water?,-7.321000000000001,esol
1844,Report the predicted ESOL value for CCN(CC)c1ccccc1.,-3.03,esol
1845,"For the molecule NC(=O)c1cccnc1 , return its solubility estimate.",0.61,esol
1846,Provide the aqueous solubility for the structure CC2=CC(=O)c1ccccc1C2=O .,-3.03,esol
1847,What is the solubility of Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl  in water?,-7.39,esol
1848,Provide the aqueous solubility for the structure CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O.,-4.12,esol
1849,Estimate the ESOL property of CCCCCCCCC=C.,-5.51,esol
1850,How soluble is CCc1ccc(CC)cc1 in water?,-3.75,esol
1851,What is the predicted ESOL value for CC=CC=O?,0.32,esol
1852,Estimate the ESOL property of c2c(C)cc1nc(C)ccc1c2 .,-1.94,esol
1853,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,-5.27,esol
1854,Estimate the ESOL property of Oc1c(Cl)ccc(Cl)c1Cl.,-2.64,esol
1855,Report the predicted ESOL value for CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2.,-4.7,esol
1856,What is the solubility of CCCCCCC(=O)OCC in water?,-2.74,esol
1857,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC ,-3.84,esol
1858,"Given the SMILES c3ccc2nc1ccccc1cc2c3, compute its solubility value.",-3.67,esol
1859,"From the SMILES CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O , predict the ESOL property.",-2.3,esol
1860,"For the molecule Clc1cc(Cl)c(Cl)c(Cl)c1Cl, return its solubility estimate.",-5.65,esol
1861,What is the solubility of Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl in water?,-9.16,esol
1862,"From the SMILES CN(C)C(=O)C(c1ccccc1)c2ccccc2 , predict the ESOL property.",-2.98,esol
1863,What is the solubility of O=Cc2ccc1OCOc1c2  in water?,-1.63,esol
1864,"Given the SMILES CCC(=O)C, compute its solubility value.",0.52,esol
1865,Estimate the ESOL property of Oc1ccc(Br)cc1.,-1.09,esol
1866,"For the molecule Clc1ccccc1Br, return its solubility estimate.",-3.19,esol
1867,"From the SMILES Cn1c(=O)n(C)c2nc[nH]c2c1=O, predict the ESOL property.",-1.39,esol
1868,What is the predicted ESOL value for c1cc2cccc3c4cccc5cccc(c(c1)c23)c54?,-8.804,esol
1869,How soluble is CCNc1nc(Cl)nc(NCC)n1  in water?,-4.55,esol
1870,Report the predicted ESOL value for CCC=C.,-1.94,esol
1871,"Given the SMILES CCN2c1ccccc1N(C)C(=O)c3cccnc23 , compute its solubility value.",-3.324,esol
1872,Report the predicted ESOL value for ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2.,-6.9,esol
1873,What is the predicted ESOL value for O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3?,-6.301,esol
1874,What is the solubility of Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl  in water?,-6.57,esol
1875,How soluble is c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2 in water?,-7.92,esol
1876,Provide the aqueous solubility for the structure BrC(Br)(Br)Br.,-3.14,esol
1877,Estimate the ESOL property of COc1ccccc1.,-1.85,esol
1878,"For the molecule CCNc1nc(Cl)nc(n1)N(CC)CC, return its solubility estimate.",-4.06,esol
1879,"For the molecule CC(Cl)(Cl)Cl, return its solubility estimate.",-2.0,esol
1880,"Given the SMILES Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl, compute its solubility value.",-7.15,esol
1881,Provide the aqueous solubility for the structure NC(=O)CCl .,-0.02,esol
1882,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-6.29,esol
1883,Provide the aqueous solubility for the structure COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl.,-6.62,esol
1884,Provide the aqueous solubility for the structure CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl.,-4.88,esol
1885,Report the predicted ESOL value for CI.,-1.0,esol
1886,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: CC(C)C(=O)C,-0.12,esol
1887,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: CCCCCC,-3.84,esol
1888,"From the SMILES CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC, predict the ESOL property.",-2.518,esol
1889,Provide the aqueous solubility for the structure CC(C)N(C(=O)CCl)c1ccccc1 .,-2.48,esol
1890,What is the predicted ESOL value for CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl?,-4.2860000000000005,esol
1891,What is the solubility of Oc1cccc(c1)N(=O)=O in water?,-1.01,esol
1892,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: OCCOc1ccccc1,-0.7,esol
1893,How soluble is c1ccc2c(c1)c3ccccc3c4ccccc24 in water?,-6.726,esol
1894,Provide the aqueous solubility for the structure NC(=O)c1ccccc1.,-0.96,esol
1895,"Given the SMILES O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13, compute its solubility value.",-2.676,esol
1896,"Given the SMILES O=C1CCCCC1, compute its solubility value.",-0.6,esol
1897,"Given the SMILES Oc1cc(Cl)c(Cl)cc1Cl, compute its solubility value.",-2.21,esol
1898,What is the predicted ESOL value for COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O ?,-3.638,esol
1899,What is the predicted ESOL value for COc1cccc(Cl)c1?,-2.78,esol
1900,What is the predicted ESOL value for O=C1NC(=O)NC(=O)C1(CC)CCC(C)C?,-2.658,esol
1901,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624,esol
1902,Report the predicted ESOL value for CCCCCC1CCCC1.,-6.08,esol
1903,Provide the aqueous solubility for the structure CCCC.,-2.57,esol
1904,"From the SMILES Oc2ccc1ncccc1c2 , predict the ESOL property.",-2.16,esol
1905,"Given the SMILES NC(N)=NC#N , compute its solubility value.",-0.31,esol
1906,"For the molecule CCCC(=O)CCC, return its solubility estimate.",-1.3,esol
1907,Estimate the ESOL property of Sc2nc1ccccc1s2 .,-3.18,esol
1908,Estimate the ESOL property of ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl.,-6.8,esol
1909,"From the SMILES CCCCCCCC(=O)OC, predict the ESOL property.",-3.17,esol
1910,Provide the aqueous solubility for the structure NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl .,-2.68,esol
1911,"For the molecule CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 , return its solubility estimate.",-3.81,esol
1912,Report the predicted ESOL value for CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C.,-4.42,esol
1913,"Given the SMILES Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2, compute its solubility value.",-5.46,esol
1914,Estimate the ESOL property of c1ccc2c(c1)c3cccc4cccc2c34.,-6.0,esol
1915,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: Cc1cc(C)c(O)c(C)c1,-2.05,esol
1916,"From the SMILES Cn1cnc2n(C)c(=O)[nH]c(=O)c12 , predict the ESOL property.",-2.523,esol
1917,Estimate the ESOL property of CCCOC(=O)c1ccc(N)cc1.,-2.452,esol
1918,"Given the SMILES Nc1nc(O)nc2nc[nH]c12 , compute its solubility value.",-3.401,esol
1919,Report the predicted ESOL value for CCC1CCCCC1.,-4.25,esol
1920,"For the molecule NNc1ccccc1, return its solubility estimate.",0.07,esol
1921,Report the predicted ESOL value for COc1ccc(cc1)N(=O)=O.,-2.41,esol
1922,How soluble is Oc1cccc2ccccc12 in water?,-2.22,esol
1923,Provide the aqueous solubility for the structure C1c2ccccc2c3ccc4ccccc4c13.,-6.68,esol
1924,"From the SMILES Cc1cc(C)c(C)c(C)c1C, predict the ESOL property.",-4.0,esol
1925,Provide the aqueous solubility for the structure CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2.,-7.337000000000001,esol
1926,Predict the aqueous solubility (ESOL) value for the molecule with SMILES: O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,esol
1927,Estimate the ESOL property of CCCCCC(=O)OCC.,-2.35,esol
1928,"Given the SMILES CNC(=O)c1ccc(cc1)c2cc(C(=O)N[C@H]3CCCNC3)c(NC(=O)N)s2, compute its lipophilicity.",0.7,lipo
1929,Estimate the lipophilicity property of CCOc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1.,2.55,lipo
1930,What is the predicted lipophilicity (Lipo) of COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCN(C)CCO)C(=O)N?,3.2,lipo
1931,What is the logD/lipophilicity of Cc1onc(n1)c2ccc(OCC3CN(C3)c4ccc(C)nn4)cc2?,2.62,lipo
1932,Estimate the lipophilicity property of COc1cc(ccc1Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)N4CCN(C)CC4.,3.9,lipo
1933,Report the predicted Lipo value for Fc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(Cl)cc3.,3.49,lipo
1934,How lipophilic is Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C?,4.49,lipo
1935,"From the SMILES CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ocnc34)n2)c1, predict the Lipo property.",2.9,lipo
1936,What is the logD/lipophilicity of O=C(Nc1ccccn1)c2ccc3[nH]c(nc3c2)c4ccc(NC(=O)C56CC7CC(CC(C7)C5)C6)cc4?,4.24,lipo
1937,"For the molecule CCc1nc2c(N)nc3ccccc3c2n1CC(C)C, return its lipophilicity score.",2.55,lipo
1938,Provide the lipophilicity index for the compound Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)C4CC4)cc3.,2.46,lipo
1939,"From the SMILES CCC(CCNC)Oc1cc(Cl)ccc1C#N, predict the Lipo property.",0.38,lipo
1940,"For the molecule CNC(=O)c1cccc(c1c2ccc(CC(C)C)cc2)S(=O)(=O)Nc3ncc(C)nc3OC, return its lipophilicity score.",1.68,lipo
1941,"For the molecule N#Cc1nc(nc(n1)N2CCOCC2)N3CCOCC3, return its lipophilicity score.",1.51,lipo
1942,What is the predicted lipophilicity (Lipo) of OC(=O)[C@H](Cc1ccc(OCCc2ccc3OCCNc3n2)cc1)NC(=O)c4c(Cl)cccc4Cl?,-0.18,lipo
1943,What is the logD/lipophilicity of Cc1c(Cl)ccc(OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2)c1Cl?,3.15,lipo
1944,Provide the lipophilicity index for the compound O=C(N1CCCCC1)c2csc3CCCCc23.,3.2,lipo
1945,Provide the lipophilicity index for the compound NC(=O)c1sc(cc1N)c2ccsc2.,2.23,lipo
1946,Estimate the lipophilicity property of CC(C)N(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C.,3.9,lipo
1947,What is the logD/lipophilicity of CCCSc1nc(N[C@@H]2C[C@H]2c3ccccc3)c4nnn([C@@H]5C[C@H](O)[C@@H](O)[C@H]5O)c4n1?,3.97,lipo
1948,How lipophilic is O=C1Nc2cc(ccc2C1c3ncnc4cc(OCCCN5CCOCC5)ccc34)C#N?,2.99,lipo
1949,Report the predicted Lipo value for Cn1cc(cc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)C#N.,3.96,lipo
1950,What is the logD/lipophilicity of CC[C@H](N)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C#N?,2.6,lipo
1951,"Given the SMILES Cc1cc(Oc2ccc3OCOc3c2)nc(Oc4ccc(cc4)n5ccnc5)n1, compute its lipophilicity.",3.47,lipo
1952,Report the predicted Lipo value for C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4noc(C)n4.,2.6,lipo
1953,Predict the lipophilicity (Lipo) value for the molecule with SMILES: CCN(C1CCN(CCC(c2ccccc2)c3ccc(cc3)C#N)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,2.76,lipo
1954,What is the predicted lipophilicity (Lipo) of FC(F)(F)c1csc(n1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N?,2.4,lipo
1955,"Given the SMILES O=C1NN=C(Cc2ccccc2)c3ccccc13, compute its lipophilicity.",2.8,lipo
1956,What is the predicted lipophilicity (Lipo) of CN1C(=O)C(=Cc2cnc(NC3CCOCC3)nc12)Oc4ccc(F)cc4F?,2.76,lipo
1957,Provide the lipophilicity index for the compound CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4.,1.3,lipo
1958,Predict the lipophilicity (Lipo) value for the molecule with SMILES: CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2,-0.22,lipo
1959,What is the predicted lipophilicity (Lipo) of CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4cccnc4?,1.2,lipo
1960,"Given the SMILES Fc1ccc(CN2CCN(CC2)[C@H](c3ccc(cc3)C(=O)N4CCC4)c5cccc(NC(=O)C6CC6)c5)cc1, compute its lipophilicity.",3.58,lipo
1961,"From the SMILES CC(=O)Nc1nc(ns1)c2ccccc2, predict the Lipo property.",2.8,lipo
1962,Provide the lipophilicity index for the compound C[S+]([O-])CCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3.,3.17,lipo
1963,How lipophilic is CC(=O)N1CCOc2cc(COc3ccccc3)cnc12?,2.8,lipo
1964,"For the molecule O=S(=O)(Nc1cccc2[nH]ncc12)c3cccs3, return its lipophilicity score.",1.7,lipo
1965,How lipophilic is CNCCC(Oc1ccccc1OC)c2ccccc2?,0.22,lipo
1966,"Given the SMILES Oc1ccc2[nH]c(CN3CCC(Cc4ccc(F)cc4)CC3)nc2c1, compute its lipophilicity.",3.8,lipo
1967,"From the SMILES CCCSc1nc(ccc1C(=O)NC2CCCCC2)N3CCC(CC3)C(=O)O, predict the Lipo property.",1.6,lipo
1968,Report the predicted Lipo value for CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)N)C(=O)C(F)(F)F.,1.17,lipo
1969,How lipophilic is OC(=O)CC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3?,2.84,lipo
1970,What is the logD/lipophilicity of COCCC(=O)Nc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1?,2.78,lipo
1971,How lipophilic is Nc1nc(N)nc(n1)c2ccc(Cl)cc2?,2.12,lipo
1972,Provide the lipophilicity index for the compound CCCCN(CCNCCc1ccc(O)c2NC(=O)Sc12)C(=O)CCOCCc3ccccc3.,3.0,lipo
1973,Provide the lipophilicity index for the compound Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4C.,1.79,lipo
1974,Estimate the lipophilicity property of COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1.,-0.54,lipo
1975,"Given the SMILES NC(=O)Nc1sc(cc1C(=O)N)c2ccc(OCCN3CCCCC3)cc2, compute its lipophilicity.",1.2,lipo
1976,"For the molecule Cc1ccc(NC(=O)[C@H]2CCCN2S(=O)(=O)c3cccc4cccnc34)c(C)c1, return its lipophilicity score.",3.9,lipo
1977,How lipophilic is CC1=CC(=O)Oc2c3CCCNc3c(C)cc12?,2.9,lipo
1978,"For the molecule CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C, return its lipophilicity score.",-0.54,lipo
1979,"From the SMILES COc1cnc(nc1N(C)c2ccccc2)c3ccccn3, predict the Lipo property.",2.79,lipo
1980,Provide the lipophilicity index for the compound Cn1cc(nc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)C#N.,3.4,lipo
1981,How lipophilic is Fc1ccc(Oc2cc(F)c(cc2F)S(=O)(=O)Nc3ncc(Cl)s3)c(c1)c4cn[nH]c4?,2.7,lipo
1982,How lipophilic is O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4nc5ncccc5s4?,1.4,lipo
1983,What is the predicted lipophilicity (Lipo) of Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4ncc(CN5CCOCC5)s4?,3.1,lipo
1984,What is the predicted lipophilicity (Lipo) of COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN5CCC(CO)CC5?,2.89,lipo
1985,"For the molecule Clc1cccc(CN2C=CN3C(=O)C=C(N=C23)N4CCOCC4)c1Cl, return its lipophilicity score.",3.3,lipo
1986,"For the molecule CC#Cc1ccnc(c1)c2cc(ccc2O)C3(N=C(C)C(=N3)N)C4CC4, return its lipophilicity score.",3.6,lipo
1987,Estimate the lipophilicity property of CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ncoc34)n2)c1.,2.5,lipo
1988,Report the predicted Lipo value for Clc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCNCC3.,0.68,lipo
1989,"Given the SMILES OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23, compute its lipophilicity.",3.5,lipo
1990,How lipophilic is CNS(=O)(=O)NC1=CC=C(N(CC(=O)NC(C(C)C)C(=O)C(F)(F)F)C1=O)c2ccccc2?,1.79,lipo
1991,Report the predicted Lipo value for COc1cc(F)ccc1c2cncc(CNC(=O)c3ccccn3)c2.,3.2,lipo
1992,"From the SMILES COCCN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C, predict the Lipo property.",2.8,lipo
1993,"For the molecule CC(C)(C)OC(=O)N1CCN(CC1)c2ncc(OCc3ccc(cc3)S(=O)(=O)C)nn2, return its lipophilicity score.",2.93,lipo
1994,"Given the SMILES COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3, compute its lipophilicity.",2.55,lipo
1995,Estimate the lipophilicity property of CC(C#Cc1ccccc1)N2NC(=O)C3=C(C2=O)C(=O)c4ccc(Cl)cc4N3.,1.4,lipo
1996,What is the logD/lipophilicity of CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CCOCC4)ncc2F?,3.01,lipo
1997,Estimate the lipophilicity property of CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(C2)C(=O)Cc3ccccc3.,1.32,lipo
1998,Provide the lipophilicity index for the compound COc1cc2ncnc(Nc3cc(NC(=O)c4ccnc(c4)N5CCOCC5)ccc3C)c2cc1OCCN(C(C)C)C(C)C.,3.5,lipo
1999,What is the logD/lipophilicity of c1ccc2ncccc2c1?,2.09,lipo
2000,What is the predicted lipophilicity (Lipo) of C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3?,2.86,lipo
2001,How lipophilic is Nc1ccccc1NC(=O)c2ccc(cc2)C3CCN(Cc4ccc(cc4)C(=O)NC5CC5)CC3?,2.31,lipo
2002,"Given the SMILES C[C@H](Nc1cnc(C)c(Nc2cc(C)[nH]n2)n1)c3ccc(F)cn3, compute its lipophilicity.",1.73,lipo
2003,Provide the lipophilicity index for the compound CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2OCC(=O)O)C(F)(F)F.,-0.45,lipo
2004,Predict the lipophilicity (Lipo) value for the molecule with SMILES: Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3cc(C)nc4ccccc34,2.88,lipo
2005,How lipophilic is FC(F)(F)c1nnc2ccc(nn12)n3ccnc3?,0.91,lipo
2006,What is the predicted lipophilicity (Lipo) of COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC?,3.35,lipo
2007,Estimate the lipophilicity property of Nc1nc2ccccc2n1C(=O)c3ccccc3.,1.56,lipo
2008,How lipophilic is OC1CCN(CC1)C(=O)c2ccc(cc2)C(=C3CCN(Cc4cscn4)CC3)c5cccc6cccnc56?,1.89,lipo
2009,"From the SMILES O=C(Nc1ccccc1)c2ccc(OCCCN3CCCC3)cc2OCc4ccccc4C#N, predict the Lipo property.",2.66,lipo
2010,"From the SMILES O=C(Nc1ccccc1)c2ccccc2, predict the Lipo property.",2.8,lipo
2011,Estimate the lipophilicity property of CCN1CCN(Cc2cnc(c(Cl)c2)c3ccc(cc3)C(=O)Nc4ccccc4N)CC1.,1.81,lipo
2012,What is the logD/lipophilicity of Cc1cnc(NC(=O)Cc2ccccc2)s1?,2.9,lipo
