question_smiles,question_iupac,answer
Identify the carbon atom count in the molecule COc1ccc(C)cc1NC(=O)N1CCC(CO)(CC2CCCCO2)CC1.,Identify the carbon atom count in the molecule 4-(hydroxymethyl)-N-(2-methoxy-5-methylphenyl)-4-(oxan-2-ylmethyl)piperidine-1-carboxamide.,21
How many carbon atoms make up the structure COc1cc(C(=O)O)ccc1OCC1CCNCC1?,How many carbon atoms make up the structure 3-methoxy-4-(piperidin-4-ylmethoxy)benzoic acid?,14
How many carbon atoms make up the structure O=C(CCCC(=O)OCc1ccccc1)Nc1ccc(N2CCN(C(=O)Nc3c(Cl)cc(CN4CCCCC4)cc3Cl)CC2)cc1?,"How many carbon atoms make up the structure benzyl 5-[4-[4-[[2,6-dichloro-4-(piperidin-1-ylmethyl)phenyl]carbamoyl]piperazin-1-yl]anilino]-5-oxopentanoate?",35
Count the number of carbon atoms in COC(=O)CCN1CCC(C(N)=O)CC1.,Count the number of carbon atoms in methyl 3-(4-carbamoylpiperidin-1-yl)propanoate.,10
How many carbon atoms make up the structure CN(C)C1CCN(C(=O)c2ccc(CN3C(=O)c4ccccc4C3=O)cc2)CC1?,"How many carbon atoms make up the structure 2-[[4-[4-(dimethylamino)piperidine-1-carbonyl]phenyl]methyl]isoindole-1,3-dione?",23
Determine the total carbon count for CCCC(=O)Nc1ccc2c(c1)CN(C(=O)c1ccc(F)cc1F)[C@H](C(=O)N(C)C)C2.,"Determine the total carbon count for (3S)-7-(butanoylamino)-2-(2,4-difluorobenzoyl)-N,N-dimethyl-3,4-dihydro-1H-isoquinoline-3-carboxamide.",23
Compute the total number of carbons in C[C@@H](c1ccc(-c2nncc3ccccc23)cc1)N1CCCC1.,Compute the total number of carbons in 1-[4-[(1S)-1-pyrrolidin-1-ylethyl]phenyl]phthalazine.,20
"Given CCNC(=O)[C@@H]1C[C@H](NC(=O)c2c[nH]c3ccc(F)cc3c2=O)CN1CC, return the number of carbon atoms.","Given N-[(3S,5S)-1-ethyl-5-(ethylcarbamoyl)pyrrolidin-3-yl]-6-fluoro-4-oxo-1H-quinoline-3-carboxamide, return the number of carbon atoms.",19
Count the number of carbon atoms in COc1ccc(C=CC(=O)OC2C(C)OC(OC3C4C=COC(OC5OC(CO)C(O)C(O)C5O)C4C4(CO)OC34)C(O)C2O)cc1.,"Count the number of carbon atoms in [4,5-dihydroxy-6-[[2-(hydroxymethyl)-10-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-5-yl]oxy]-2-methyloxan-3-yl] 3-(4-methoxyphenyl)prop-2-enoate.",31
What is the total count of carbon atoms in COc1ccc(-c2ccc3nc(C(=O)NCC(=O)O)cn3c2)cc1?,"What is the total count of carbon atoms in 2-[[6-(4-methoxyphenyl)imidazo[1,2-a]pyridine-2-carbonyl]amino]acetic acid?",17
Identify the carbon atom count in the molecule CC(N)C(C)C(=O)Nc1cc2c(cc1Sc1ccccc1)OCCO2.,"Identify the carbon atom count in the molecule 3-amino-2-methyl-N-(6-phenylsulfanyl-2,3-dihydro-1,4-benzodioxin-7-yl)butanamide.",19
Compute the total number of carbons in CC1CCCC(O)(CN2C[C@H]3C[C@@H]2CO3)[C@@H]2CC[C@H]2CN2CCCCc3cc(Cl)ccc3COc3ccc(cc32)C(=O)NS(=O)(=O)[C@@H]1C.,"Compute the total number of carbons in (19R,22R,28R)-10-chloro-23-hydroxy-27,28-dimethyl-23-[[(1R,4R)-2-oxa-5-azabicyclo[2.2.1]heptan-5-yl]methyl]-29,29-dioxo-5-oxa-29lambda6-thia-17,30-diazapentacyclo[15.14.2.04,33.07,12.019,22]tritriaconta-1(32),2,4(33),7(12),8,10-hexaen-31-one.",37
How many carbons are present in the molecule Cc1cc(C(=O)NCC2(O)CCc3ccccc32)no1?,"How many carbons are present in the molecule N-[(1-hydroxy-2,3-dihydroinden-1-yl)methyl]-5-methyl-1,2-oxazole-3-carboxamide?",15
What is the total count of carbon atoms in CC(C)C12CN(C(=O)Cc3cccc([N+](=O)[O-])c3)CC(C(C)C)(CN(C(=O)Cc3cccc([N+](=O)[O-])c3)C1)C2=O?,"What is the total count of carbon atoms in 3,7-bis[2-(3-nitrophenyl)acetyl]-1,5-di(propan-2-yl)-3,7-diazabicyclo[3.3.1]nonan-9-one?",29
Determine the total carbon count for Cc1ccc(N2CCCC(NCc3cccs3)C2)nn1.,Determine the total carbon count for 1-(6-methylpyridazin-3-yl)-N-(thiophen-2-ylmethyl)piperidin-3-amine.,15
"For the molecule COC(C)(C)CCC(CO)c1ccccc1C, how many carbon atoms does it contain?","For the molecule 5-methoxy-5-methyl-2-(2-methylphenyl)hexan-1-ol, how many carbon atoms does it contain?",15
How many carbons are present in the molecule CCC(C)(O)C(=O)NC?,"How many carbons are present in the molecule 2-hydroxy-N,2-dimethylbutanamide?",6
How many carbons are present in the molecule CCOC(=O)C1=C(N)Oc2c(oc(CO)cc2=O)[C@H]1c1ccccc1C(F)(F)F?,"How many carbons are present in the molecule ethyl (4S)-2-amino-6-(hydroxymethyl)-8-oxo-4-[2-(trifluoromethyl)phenyl]-4H-pyrano[3,2-b]pyran-3-carboxylate?",19
Determine the total carbon count for CC(=O)c1nc(C)co1.,"Determine the total carbon count for 1-(4-methyl-1,3-oxazol-2-yl)ethanone.",6
Report the number of carbon atoms in C[C@H](C(=O)NC1CCCCC1)N(Cc1ccc(Cl)cc1Cl)C(=O)CN(c1cc(Cl)cc(Cl)c1)S(=O)(=O)c1ccccc1.,"Report the number of carbon atoms in (2R)-2-[[2-[N-(benzenesulfonyl)-3,5-dichloroanilino]acetyl]-[(2,4-dichlorophenyl)methyl]amino]-N-cyclohexylpropanamide.",30
Identify the carbon atom count in the molecule CCCCCCCc1c(C)[nH]c(N2CCOCC2)nc1=O.,Identify the carbon atom count in the molecule 5-heptyl-4-methyl-2-morpholin-4-yl-1H-pyrimidin-6-one.,16
Identify the carbon atom count in the molecule CC(C)(CO)CN1CCOCC1.,"Identify the carbon atom count in the molecule 2,2-dimethyl-3-morpholin-4-ylpropan-1-ol.",9
"Given CCCOC(=O)C=CC(C)Oc1cc(N2C(=O)C3CCCCC3C2=O)c(F)cc1Cl, return the number of carbon atoms.","Given propyl 4-[2-chloro-5-(1,3-dioxo-3a,4,5,6,7,7a-hexahydroisoindol-2-yl)-4-fluorophenoxy]pent-2-enoate, return the number of carbon atoms.",22
Determine the total carbon count for O=C(O)CCCN1CCCCC1COc1ccc(Cc2ccc(-c3ccsc3)cc2)cc1.,Determine the total carbon count for 4-[2-[[4-[(4-thiophen-3-ylphenyl)methyl]phenoxy]methyl]piperidin-1-yl]butanoic acid.,27
Compute the total number of carbons in Cc1cc2[nH]c(Cl)c(C=C3C(=O)Nc4ccccc43)c2cc1O.,Compute the total number of carbons in 3-[(2-chloro-5-hydroxy-6-methyl-1H-indol-3-yl)methylidene]-1H-indol-2-one.,18
How many carbons are present in the molecule COc1ccc(C2CCC(N(C)C(=O)Cc3cccc(C)c3)CC2)cc1C?,How many carbons are present in the molecule N-[4-(4-methoxy-3-methylphenyl)cyclohexyl]-N-methyl-2-(3-methylphenyl)acetamide?,24
"Given Clc1ccc(-c2nc(CNCCOc3ccccc3)co2)c(Cl)c1, return the number of carbon atoms.","Given N-[[2-(2,4-dichlorophenyl)-1,3-oxazol-4-yl]methyl]-2-phenoxyethanamine, return the number of carbon atoms.",18
Determine the total carbon count for CC1(C)Oc2ccc(S(=O)(=O)N3CCC(O)CC3)cc2NC1=O.,"Determine the total carbon count for 6-(4-hydroxypiperidin-1-yl)sulfonyl-2,2-dimethyl-4H-1,4-benzoxazin-3-one.",15
Report the number of carbon atoms in Brc1cnc(NCc2ccccc2N2CCOCC2)nc1.,Report the number of carbon atoms in 5-bromo-N-[(2-morpholin-4-ylphenyl)methyl]pyrimidin-2-amine.,15
Identify the carbon atom count in the molecule CCOc1c(F)cccc1C(=O)NCc1cn(CC(=O)O)nn1.,Identify the carbon atom count in the molecule 2-[4-[[(2-ethoxy-3-fluorobenzoyl)amino]methyl]triazol-1-yl]acetic acid.,14
"For the molecule Cc1ccccc1, how many carbon atoms does it contain?","For the molecule toluene, how many carbon atoms does it contain?",7
"For the molecule c1cncc(CN2CCC3(CC(OCC4CC4)CO3)C2)c1, how many carbon atoms does it contain?","For the molecule 3-(cyclopropylmethoxy)-7-(pyridin-3-ylmethyl)-1-oxa-7-azaspiro[4.4]nonane, how many carbon atoms does it contain?",17
Identify the carbon atom count in the molecule CCOC(=O)C1=C(C)NC2=C(C(=O)[C@H](C(=O)OCC)[C@@H](c3cccc(OC)c3)C2)[C@@H]1c1ccc(Cl)cc1Cl.,"Identify the carbon atom count in the molecule diethyl (4S,6R,7S)-4-(2,4-dichlorophenyl)-7-(3-methoxyphenyl)-2-methyl-5-oxo-4,6,7,8-tetrahydro-1H-quinoline-3,6-dicarboxylate.",29
"Given Cc1sc2nc(SC(C)C(=O)c3ccc4c(c3)NC(=O)C(C)O4)[nH]c(=O)c2c1-c1ccccc1, return the number of carbon atoms.","Given 2-methyl-6-[2-[(6-methyl-4-oxo-5-phenyl-3H-thieno[2,3-d]pyrimidin-2-yl)sulfanyl]propanoyl]-4H-1,4-benzoxazin-3-one, return the number of carbon atoms.",25
What is the total count of carbon atoms in NCCNC(=O)c1ccc(Nc2ncc(CNc3cc(C(=O)NC4CC4)c(F)cc3F)s2)nc1?,"What is the total count of carbon atoms in N-(2-aminoethyl)-6-[[5-[[5-(cyclopropylcarbamoyl)-2,4-difluoroanilino]methyl]-1,3-thiazol-2-yl]amino]pyridine-3-carboxamide?",22
How many carbon atoms make up the structure CC1(C)CC=CCC1=O?,"How many carbon atoms make up the structure 6,6-dimethylcyclohex-3-en-1-one?",8
Determine the total carbon count for CCOC(=O)COc1ccc(Cl)cc1CNC1CC1.,Determine the total carbon count for ethyl 2-[4-chloro-2-[(cyclopropylamino)methyl]phenoxy]acetate.,14
How many carbons are present in the molecule CNc1ccc(-c2cnc3cc(I)ccc3n2)cc1?,How many carbons are present in the molecule 4-(6-iodoquinoxalin-2-yl)-N-methylaniline?,15
How many carbon atoms make up the structure Cc1ccc(CN2C(=O)C[C@]23COCCN(C(=O)C2CCC2)C3)cc1?,"How many carbon atoms make up the structure (4S)-6-(cyclobutanecarbonyl)-1-[(4-methylphenyl)methyl]-9-oxa-1,6-diazaspiro[3.6]decan-2-one?",20
What is the total count of carbon atoms in NC[C@H]1C[C@H]1c1ccncc1?,"What is the total count of carbon atoms in [(1S,2R)-2-pyridin-4-ylcyclopropyl]methanamine?",9
"For the molecule COc1cc2oc(=O)ccc2cc1C(O)C(O)C(C)(C)O, how many carbon atoms does it contain?","For the molecule 7-methoxy-6-(1,2,3-trihydroxy-3-methylbutyl)chromen-2-one, how many carbon atoms does it contain?",15
Count the number of carbon atoms in CSc1cc(Oc2ccnc3ncc(=O)[nH]c23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccccc1.,"Count the number of carbon atoms in 1-(3-tert-butyl-1-phenylpyrazol-5-yl)-3-[2-methylsulfanyl-4-[(2-oxo-1H-pyrido[2,3-b]pyrazin-8-yl)oxy]phenyl]urea.",28
How many carbons are present in the molecule CN1C(=O)CC[C@H]1c1cccnc1F?,How many carbons are present in the molecule (5S)-5-(2-fluoro-3-pyridinyl)-1-methylpyrrolidin-2-one?,10
"For the molecule Cc1cc(C)c2[nH]c(C(=O)N3CCC3c3ccc(F)cc3)c(C)c2c1, how many carbon atoms does it contain?","For the molecule [2-(4-fluorophenyl)azetidin-1-yl]-(3,5,7-trimethyl-1H-indol-2-yl)methanone, how many carbon atoms does it contain?",21
How many carbons are present in the molecule CNC(=O)c1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12?,"How many carbons are present in the molecule 5-[2-(2,5-difluorophenyl)pyrrolidin-1-yl]-N-methylpyrazolo[1,5-a]pyrimidine-3-carboxamide?",18
How many carbon atoms make up the structure COc1cccc(C2CC3=Nc4ccccc4N(C(=O)CCC(=O)O)C(c4ccc(F)cc4)C3=C(O)C2)c1?,"How many carbon atoms make up the structure 4-[6-(4-fluorophenyl)-9-(3-methoxyphenyl)-7-oxo-8,9,10,11-tetrahydro-6H-benzo[b][1,4]benzodiazepin-5-yl]-4-oxobutanoic acid?",30
Identify the carbon atom count in the molecule CCC(CO)(Cc1ccccc1)NC(C)C.,Identify the carbon atom count in the molecule 2-benzyl-2-(propan-2-ylamino)butan-1-ol.,14
Determine the total carbon count for Cc1cccnc1NC(=O)C[C@H]1CSc2nc(C(C)C)cc(=O)n21.,"Determine the total carbon count for N-(3-methyl-2-pyridinyl)-2-[(3S)-5-oxo-7-propan-2-yl-2,3-dihydro-[1,3]thiazolo[3,2-a]pyrimidin-3-yl]acetamide.",17
Report the number of carbon atoms in COc1ccc(NC(=O)c2ccc(NC(=O)CNC(C)c3cccc4ccccc34)cc2)cc1.,Report the number of carbon atoms in N-(4-methoxyphenyl)-4-[[2-(1-naphthalen-1-ylethylamino)acetyl]amino]benzamide.,28
Report the number of carbon atoms in CCOC(=O)c1cnc(CN)c(C)c1C(F)F.,Report the number of carbon atoms in ethyl 6-(aminomethyl)-4-(difluoromethyl)-5-methylpyridine-3-carboxylate.,11
Compute the total number of carbons in Cc1ccc([C@@]2(C)NC(=O)N(CC(=O)N3CCc4ccccc43)C2=O)cc1.,"Compute the total number of carbons in (5R)-3-[2-(2,3-dihydroindol-1-yl)-2-oxoethyl]-5-methyl-5-(4-methylphenyl)imidazolidine-2,4-dione.",21
Count the number of carbon atoms in COc1cc(CN2C(=O)CC[C@@H]3CN(Cc4ccc(F)cc4F)CC[C@@H]32)cc(OC)c1OC.,"Count the number of carbon atoms in (4aR,8aS)-6-[(2,4-difluorophenyl)methyl]-1-[(3,4,5-trimethoxyphenyl)methyl]-4,4a,5,7,8,8a-hexahydro-3H-1,6-naphthyridin-2-one.",25
How many carbons are present in the molecule CCOC(=O)c1ccc(-c2ccc(Br)cc2C)o1?,How many carbons are present in the molecule ethyl 5-(4-bromo-2-methylphenyl)furan-2-carboxylate?,14
Count the number of carbon atoms in CCCCCC[S@@](=O)[C@H]1C=CS(=O)(=O)C1.,"Count the number of carbon atoms in (3S)-3-[(R)-hexylsulfinyl]-2,3-dihydrothiophene 1,1-dioxide.",10
Compute the total number of carbons in COc1ccc(Nc2nc(C(=O)N3CCC[C@@H]3C(C)(C)O)cs2)cc1.,"Compute the total number of carbons in [(2R)-2-(2-hydroxypropan-2-yl)pyrrolidin-1-yl]-[2-(4-methoxyanilino)-1,3-thiazol-4-yl]methanone.",18
What is the total count of carbon atoms in CN(C)CCC(Oc1ccccc1OCc1ccccc1)c1ccccc1?,"What is the total count of carbon atoms in N,N-dimethyl-3-phenyl-3-(2-phenylmethoxyphenoxy)propan-1-amine?",24
Count the number of carbon atoms in Cc1ccc(-c2nnn(CC(=O)N(C3CCCCC3)C(C)C(=O)NC3CCCC3)n2)cc1.,Count the number of carbon atoms in 2-[cyclohexyl-[2-[5-(4-methylphenyl)tetrazol-2-yl]acetyl]amino]-N-cyclopentylpropanamide.,24
How many carbons are present in the molecule Cc1ccc(SCc2cc3c(C(F)(F)F)nn(C)c3s2)cc1?,"How many carbons are present in the molecule 1-methyl-5-[(4-methylphenyl)sulfanylmethyl]-3-(trifluoromethyl)thieno[3,2-d]pyrazole?",15
Count the number of carbon atoms in CCOC(=O)[C@@H]1CC[C@]2(O)[C@H]3CC[C@@]4(O)CC(=O)CC[C@]4(CO)[C@@H]3CC[C@]12C.,"Count the number of carbon atoms in ethyl (5R,8S,9R,10R,13R,14S,17R)-5,14-dihydroxy-10-(hydroxymethyl)-13-methyl-3-oxo-1,2,4,6,7,8,9,11,12,15,16,17-dodecahydrocyclopenta[a]phenanthrene-17-carboxylate.",22
How many carbon atoms make up the structure O=C(COC1CCOC2(C1)CN(Cc1ccc(F)cc1)C2)N1CCCC1?,How many carbon atoms make up the structure 2-[[2-[(4-fluorophenyl)methyl]-5-oxa-2-azaspiro[3.5]nonan-8-yl]oxy]-1-pyrrolidin-1-ylethanone?,20
How many carbon atoms make up the structure CC(Cc1ccc2c(c1)O[C@H](C(=O)O)CO2)NCC(O)c1cccc(Cl)c1?,"How many carbon atoms make up the structure (3S)-6-[2-[[2-(3-chlorophenyl)-2-hydroxyethyl]amino]propyl]-2,3-dihydro-1,4-benzodioxine-3-carboxylic acid?",20
"Given CCCNC(=O)Cn1cnc2sc(C(=O)Nc3cccc(C(F)(F)F)c3)c(C)c2c1=O, return the number of carbon atoms.","Given 5-methyl-4-oxo-3-[2-oxo-2-(propylamino)ethyl]-N-[3-(trifluoromethyl)phenyl]thieno[2,3-d]pyrimidine-6-carboxamide, return the number of carbon atoms.",20
"Given C[C@@H](NC(=O)[C@H](C)N(c1ccc(F)cc1)S(C)(=O)=O)c1ccc(F)cc1, return the number of carbon atoms.","Given (2S)-2-(4-fluoro-N-methylsulfonylanilino)-N-[(1R)-1-(4-fluorophenyl)ethyl]propanamide, return the number of carbon atoms.",18
"For the molecule OC(c1ccc(Cl)c(Br)c1)c1csc2ccccc12, how many carbon atoms does it contain?","For the molecule 1-benzothiophen-3-yl-(3-bromo-4-chlorophenyl)methanol, how many carbon atoms does it contain?",15
Report the number of carbon atoms in Cc1cnc(-c2cc(C)[nH]n2)cn1.,Report the number of carbon atoms in 2-methyl-5-(5-methyl-1H-pyrazol-3-yl)pyrazine.,9
Identify the carbon atom count in the molecule O=[N+]([O-])c1cccc(-c2cc3c(Cl)ncnc3o2)c1.,"Identify the carbon atom count in the molecule 4-chloro-6-(3-nitrophenyl)furo[2,3-d]pyrimidine.",12
Identify the carbon atom count in the molecule C=C(C)COc1ccc(C(=O)NC2COCC2N2CCOCC2)cc1.,Identify the carbon atom count in the molecule 4-(2-methylprop-2-enoxy)-N-(4-morpholin-4-yloxolan-3-yl)benzamide.,19
What is the total count of carbon atoms in COc1ccccc1CCNC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1Cl?,"What is the total count of carbon atoms in 2,4-dichloro-N-[2-(2-methoxyphenyl)ethyl]-5-sulfamoylbenzamide?",16
Count the number of carbon atoms in NC(=O)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CS)C(=O)NC(Cc1ccccc1)C(=O)O.,Count the number of carbon atoms in 2-[[2-[[4-amino-2-[[2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-4-oxobutanoyl]amino]-3-sulfanylpropanoyl]amino]-3-phenylpropanoic acid.,25
How many carbon atoms make up the structure COc1ccccc1[C@@H]1CC(=O)N(c2ccc(C)cc2)C2=C1C(=O)OC2?,"How many carbon atoms make up the structure (4S)-4-(2-methoxyphenyl)-1-(4-methylphenyl)-4,7-dihydro-3H-furo[3,4-b]pyridine-2,5-dione?",21
"For the molecule ON=Cc1c(Cl)cc(-c2ccc(O)c(F)c2)cc1Cl, how many carbon atoms does it contain?","For the molecule 4-[3,5-dichloro-4-(hydroxyiminomethyl)phenyl]-2-fluorophenol, how many carbon atoms does it contain?",13
Report the number of carbon atoms in Cc1ccc(CNC(=O)COCc2cc(-c3cccs3)on2)cc1.,"Report the number of carbon atoms in N-[(4-methylphenyl)methyl]-2-[(5-thiophen-2-yl-1,2-oxazol-3-yl)methoxy]acetamide.",18
What is the total count of carbon atoms in O=C1NC2C3CC3C12?,"What is the total count of carbon atoms in 6-azatricyclo[3.2.0.02,4]heptan-7-one?",6
Report the number of carbon atoms in C[C@@H]1Cc2cc(S(N)(=O)=O)ccc2N1Cc1cccc(C(F)(F)F)c1.,"Report the number of carbon atoms in (2R)-2-methyl-1-[[3-(trifluoromethyl)phenyl]methyl]-2,3-dihydroindole-5-sulfonamide.",17
What is the total count of carbon atoms in O=C(COC(=O)CCCOc1ccc(Cl)cc1Cl)Nc1ccon1?,"What is the total count of carbon atoms in [2-(1,2-oxazol-3-ylamino)-2-oxoethyl] 4-(2,4-dichlorophenoxy)butanoate?",15
What is the total count of carbon atoms in NC(=O)NCCCCNC(=O)[C@H]1CCCN(S(=O)(=O)c2ccc(F)cc2)C1?,What is the total count of carbon atoms in (3S)-N-[4-(carbamoylamino)butyl]-1-(4-fluorophenyl)sulfonylpiperidine-3-carboxamide?,17
How many carbon atoms make up the structure CN(c1nccc(-c2cnc3ccccn23)n1)C1CCNCC1?,"How many carbon atoms make up the structure 4-imidazo[1,2-a]pyridin-3-yl-N-methyl-N-piperidin-4-ylpyrimidin-2-amine?",17
Determine the total carbon count for CC(=O)c1cccc(NC(=O)COC(=O)c2cccc(N3C(=O)[C@H]4CC=CC[C@@H]4C3=O)c2)c1.,"Determine the total carbon count for [2-(3-acetylanilino)-2-oxoethyl] 3-[(3aS,7aS)-1,3-dioxo-3a,4,7,7a-tetrahydroisoindol-2-yl]benzoate.",25
Compute the total number of carbons in O=C(O)[C@H]1CCCN(C(=O)Cc2csc(COc3ccc(Cl)cc3)n2)C1.,"Compute the total number of carbons in (3S)-1-[2-[2-[(4-chlorophenoxy)methyl]-1,3-thiazol-4-yl]acetyl]piperidine-3-carboxylic acid.",18
What is the total count of carbon atoms in Clc1ccc(CSc2nnc(-c3cnccn3)s2)cc1?,"What is the total count of carbon atoms in 2-[(4-chlorophenyl)methylsulfanyl]-5-pyrazin-2-yl-1,3,4-thiadiazole?",13
Compute the total number of carbons in O=C(NCc1ccccc1)N1CCCC(COc2ncc(Br)cn2)C1.,Compute the total number of carbons in N-benzyl-3-[(5-bromopyrimidin-2-yl)oxymethyl]piperidine-1-carboxamide.,18
Count the number of carbon atoms in CCCCn1cc(C2CCN(CCOc3cc(Cl)ccc3C(=O)O)CC2)c2ccccc21.,Count the number of carbon atoms in 2-[2-[4-(1-butylindol-3-yl)piperidin-1-yl]ethoxy]-4-chlorobenzoic acid.,26
What is the total count of carbon atoms in CC1CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C(=O)O)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1C?,"What is the total count of carbon atoms in 1,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxyoxan-2-yl)oxy-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-6a-carboxylic acid?",41
Identify the carbon atom count in the molecule CC(C)CC(CO)NCc1cc(Cl)ccc1F.,Identify the carbon atom count in the molecule 2-[(5-chloro-2-fluorophenyl)methylamino]-4-methylpentan-1-ol.,13
How many carbon atoms make up the structure CC[C@@H](C(=O)NC1CCCCC1)N(Cc1ccc(Cl)cc1Cl)C(=O)CCCN(c1cccc(C(F)(F)F)c1)S(C)(=O)=O?,"How many carbon atoms make up the structure (2S)-N-cyclohexyl-2-[(2,4-dichlorophenyl)methyl-[4-[N-methylsulfonyl-3-(trifluoromethyl)anilino]butanoyl]amino]butanamide?",29
Report the number of carbon atoms in Cc1noc(C)c1CCC(=O)N1CCCSC[C@H]1CN1CCOCC1.,"Report the number of carbon atoms in 3-(3,5-dimethyl-1,2-oxazol-4-yl)-1-[(3R)-3-(morpholin-4-ylmethyl)-1,4-thiazepan-4-yl]propan-1-one.",18
Identify the carbon atom count in the molecule COc1ccccc1-c1nnc2n1C(C(=O)N1CCOCC1)CC2.,"Identify the carbon atom count in the molecule [3-(2-methoxyphenyl)-6,7-dihydro-5H-pyrrolo[2,1-c][1,2,4]triazol-5-yl]-morpholin-4-ylmethanone.",17
Determine the total carbon count for CSCCC(NC=O)C(=O)NC(CC(C)C)C(=O)NC1(C(=O)O)CC1c1ccccc1.,Determine the total carbon count for 1-[[2-[(2-formamido-4-methylsulfanylbutanoyl)amino]-4-methylpentanoyl]amino]-2-phenylcyclopropane-1-carboxylic acid.,22
"For the molecule Nc1ccc(Cl)c(-c2nnc(N)n2N)c1, how many carbon atoms does it contain?","For the molecule 5-(5-amino-2-chlorophenyl)-1,2,4-triazole-3,4-diamine, how many carbon atoms does it contain?",8
How many carbons are present in the molecule c1cc(-c2cnccn2)cc(-c2ccn(CCCN3CCCCC3)n2)c1?,How many carbons are present in the molecule 2-[3-[1-(3-piperidin-1-ylpropyl)pyrazol-3-yl]phenyl]pyrazine?,21
Compute the total number of carbons in CCOC(=O)c1[nH]c(C)c(C(=O)OCC(=O)N[C@H]2CCS(=O)(=O)C2)c1C.,"Compute the total number of carbons in 4-O-[2-[[(3S)-1,1-dioxothiolan-3-yl]amino]-2-oxoethyl] 2-O-ethyl 3,5-dimethyl-1H-pyrrole-2,4-dicarboxylate.",16
Compute the total number of carbons in CN(C)CC1(O)CCCN(C(=O)c2cnc(-c3cccnc3)nc2)C1.,Compute the total number of carbons in [3-[(dimethylamino)methyl]-3-hydroxypiperidin-1-yl]-(2-pyridin-3-ylpyrimidin-5-yl)methanone.,18
What is the total count of carbon atoms in CCC1(CC)C=CCC1?,"What is the total count of carbon atoms in 3,3-diethylcyclopentene?",9
Determine the total carbon count for CN(C)CCOc1ccc(Br)cc1S(N)(=O)=O.,Determine the total carbon count for 5-bromo-2-[2-(dimethylamino)ethoxy]benzenesulfonamide.,10
How many carbon atoms make up the structure Cc1ccc(Nc2nn(-c3ccc(S(N)(=O)=O)cc3)c3nc(Nc4ccccc4)n(-c4ccccc4)c(=O)c23)cc1?,"How many carbon atoms make up the structure 4-[6-anilino-3-(4-methylanilino)-4-oxo-5-phenylpyrazolo[5,4-d]pyrimidin-1-yl]benzenesulfonamide?",30
How many carbon atoms make up the structure CC(C)c1ccc(OC[C@H]2c3ccsc3CCN2C(=O)CN(C(=O)C2CC2)C(C)(C)C)cc1?,"How many carbon atoms make up the structure N-tert-butyl-N-[2-oxo-2-[(4R)-4-[(4-propan-2-ylphenoxy)methyl]-6,7-dihydro-4H-thieno[3,2-c]pyridin-5-yl]ethyl]cyclopropanecarboxamide?",27
What is the total count of carbon atoms in CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@@H]23)c2ccc(O)cc2)C(=O)C1=O?,"What is the total count of carbon atoms in (6S,7S)-7-[[(2R)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-(4-hydroxyphenyl)acetyl]amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid?",25
What is the total count of carbon atoms in CN(C)CCOc1ncc(Nc2cc(-c3ccccc3)nc3cc(-c4ccc(F)cc4)nn23)cc1F?,"What is the total count of carbon atoms in N-[6-[2-(dimethylamino)ethoxy]-5-fluoro-3-pyridinyl]-2-(4-fluorophenyl)-5-phenylpyrazolo[1,5-a]pyrimidin-7-amine?",27
What is the total count of carbon atoms in CC1Cc2ccccc2C1NC(=O)CC1CCc2ccccc21?,"What is the total count of carbon atoms in 2-(2,3-dihydro-1H-inden-1-yl)-N-(2-methyl-2,3-dihydro-1H-inden-1-yl)acetamide?",21
How many carbon atoms make up the structure O=C(NS(=O)(=O)c1cccc(Cl)c1Cl)C1CC2(CCNCC2)C1?,"How many carbon atoms make up the structure N-(2,3-dichlorophenyl)sulfonyl-7-azaspiro[3.5]nonane-2-carboxamide?",15
Count the number of carbon atoms in O=C(O)C[C@@H](NC(=O)C1(c2ccc(F)cc2)CC1)C(=O)O.,Count the number of carbon atoms in (2R)-2-[[1-(4-fluorophenyl)cyclopropanecarbonyl]amino]butanedioic acid.,14
Determine the total carbon count for Cc1cc(O)n(C)c1O.,"Determine the total carbon count for 1,3-dimethylpyrrole-2,5-diol.",6
