rep_1,rep_2,name_equivalence_q,name_equivalence_a,chemical_similarity_q,chemical_similarity_a,property_comparison_q,property_comparison_a
iupac,smiles,Verify whether 4-[2-(4-ethoxyanilino)-2-oxoethyl]sulfanyl-3-methyloxadiazol-3-ium-5-olate and CCOc1ccc(-c2cc(C(=O)Oc3ccc(Cl)cc3)no2)cc1 correspond to an identical molecule.,0,"Between N#Cc1ccc(-c2cc(F)ccc2CC2=Nc3c(cnn3C3CCC(F)(F)CC3)C(=O)C2)cn1 and CC(C)[C@@H](NC(=O)c1ccccc1)c1nnc(SCC(=O)Nc2cc(Cl)cc(Cl)c2)n1C, which is more similar in structure to CCOc1ccc(NC(=O)CSc2c([O-])on[n+]2C)cc1?",B,"For the property molecular weight, which molecule is higher: N#Cc1ccc(-c2cc(F)ccc2CC2=Nc3c(cnn3C3CCC(F)(F)CC3)C(=O)C2)cn1 or CC(C)[C@@H](NC(=O)c1ccccc1)c1nnc(SCC(=O)Nc2cc(Cl)cc(Cl)c2)n1C?",B
smiles,smiles,Verify whether O=CC1=NC2CC(C2)O1 and N1C2CC(OC=1C=O)C2 correspond to an identical molecule.,1,"Which molecule shares greater structural similarity with O=CC1=NC2CC(C2)O1, NC(=O)CCC(NC(=O)C(N)CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)O or Cc1occc1C(S)=Nc1ccc(Cl)c(C(=O)OC2CCCC2)c1?",B,Compare NC(=O)CCC(NC(=O)C(N)CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)O and Cc1occc1C(S)=Nc1ccc(Cl)c(C(=O)OC2CCCC2)c1 in terms of molecular weight. Which is higher?,A
iupac,smiles,Are the chemical entities represented by N-(4-acetylphenyl)-3-[4-(5-bromo-2-pyridinyl)piperazin-1-yl]propanamide and c1(C(=O)C)ccc(cc1)NC(=O)CCN1CCN(CC1)c1ccc(cn1)Br the same?,1,Which molecule is more chemically similar to CC(=O)c1ccc(NC(=O)CCN2CCN(c3ccc(Br)cn3)CC2)cc1: C#CCC(C)(C)C=O or COc1cccc(N2C[C@H](C(=O)OCC(=O)Nc3cccc(C(C)=O)c3)CC2=O)c1?,B,"Which molecule demonstrates a lower value for molecular weight, C#CCC(C)(C)C=O or COc1cccc(N2C[C@H](C(=O)OCC(=O)Nc3cccc(C(C)=O)c3)CC2=O)c1?",A
smiles,smiles,Verify whether C=C(/C=c1/ccccc1=C)C1=c2\ccccc2=C(c2ccc(C(=C)c3cc4c(cc3C3=Cc5ccccc5C3(C)C)sc3ccccc34)cc2)C=CCC\C=C\1.C=C/C=C\c1cccc(-c2c3ccccc3c(-c3ccc(-c4ccc5c(c4)C(C)(C)c4c-5c5sc6ccccc6c5c5ccccc45)cc3)c3ccccc23)c1.CC.CC1(C)c2cc(-c3ccc(-c4ccccccc(-c5ccc6ccccc6c5)c5ccccc45)cc3)ccc2-c2c1c1ccccc1c1sc3ccccc3c21.CC1(C)c2ccc(-c3ccc(-c4c5ccccc5c(-c5ccc6ccccc6c5)c5ccccc45)cc3)cc2-c2ccc3c(ccc4c5ccccc5sc34)c21.CC=c1c(-c2ccc(-c3ccc4c(c3)-c3ccc5c(ccc6sc7ccccc7c65)c3C4(C)C)cc2)ccccccc(-c2ccc3ccccc3c2)c1=CC and CC(C)CNC(=O)NC(=O)COC(=O)[C@@H](C)Oc1ccccc1 correspond to an identical molecule.,0,Which compound more closely resembles C=C(/C=c1/ccccc1=C)C1=c2\ccccc2=C(c2ccc(C(=C)c3cc4c(cc3C3=Cc5ccccc5C3(C)C)sc3ccccc34)cc2)C=CCC\C=C\1.C=C/C=C\c1cccc(-c2c3ccccc3c(-c3ccc(-c4ccc5c(c4)C(C)(C)c4c-5c5sc6ccccc6c5c5ccccc45)cc3)c3ccccc23)c1.CC.CC1(C)c2cc(-c3ccc(-c4ccccccc(-c5ccc6ccccc6c5)c5ccccc45)cc3)ccc2-c2c1c1ccccc1c1sc3ccccc3c21.CC1(C)c2ccc(-c3ccc(-c4c5ccccc5c(-c5ccc6ccccc6c5)c5ccccc45)cc3)cc2-c2ccc3c(ccc4c5ccccc5sc34)c21.CC=c1c(-c2ccc(-c3ccc4c(c3)-c3ccc5c(ccc6sc7ccccc7c65)c3C4(C)C)cc2)ccccccc(-c2ccc3ccccc3c2)c1=CC: Nc1cc[nH]c1NC=O or N#CC(=C(O)Cc1ccccc1)c1nc2ccccc2[nH]1?,B,Assess the molecular weight of Nc1cc[nH]c1NC=O and N#CC(=C(O)Cc1ccccc1)c1nc2ccccc2[nH]1. Which one is higher?,B
smiles,smiles,Do CC12C3C4CN3C1(C)C42 and O=C(NCCc1ccccc1F)c1ccc2c(c1)ncn2C1CCCCC1 correspond to the same molecular structure?,0,Determine whether CCNC(=O)c1cc(S(=O)(=O)Nc2ccc(Br)cc2)ccc1C or O=C1C=CC2CC(=O)N12 is more chemically similar to CC12C3C4CN3C1(C)C42.,B,Which compound shows a higher molecular weight: CCNC(=O)c1cc(S(=O)(=O)Nc2ccc(Br)cc2)ccc1C or O=C1C=CC2CC(=O)N12?,A
iupac,iupac,Assess whether 2-[[4-[(4-bromo-3-phenylpyrazol-1-yl)methyl]cyclohexyl]methoxy]acetic acid and 2-[[4-[(4-bromo-3-phenylpyrazol-1-yl)methyl]cyclohexyl]methoxy]acetic acid denote the same chemical substance.,1,"Between CCc1ccccc1NC(=O)NCCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O and CCC(=O)c1ccc2c(c1O)C1c3c(ccc4c(=O)c(C)coc34)OCC1C(C)(C)O2, which is more similar in structure to O=C(O)COCC1CCC(Cn2cc(Br)c(-c3ccccc3)n2)CC1?",A,"For the property molecular weight, which molecule is lower: CCc1ccccc1NC(=O)NCCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O or CCC(=O)c1ccc2c(c1O)C1c3c(ccc4c(=O)c(C)coc34)OCC1C(C)(C)O2?",B
iupac,smiles,"Are 4-chloro-N-(6-fluoro-1,3-benzothiazol-2-yl)benzenesulfonamide and C=C(C)Oc1c(/C=C/c2nc3sccn3c2C(=O)Nc2nc3c(s2)CCC3)cccc1OC(F)F.CC equivalent representations of the same molecule?",0,Which molecule is more chemically similar to O=S(=O)(Nc1nc2ccc(F)cc2s1)c1ccc(Cl)cc1: c1ccc(CNC[C@@H](c2cccs2)N2CCOCC2)nc1 or COc1ccc(N2C(=O)C(=Cc3ccc(OCc4c(C)cc(C)cc4C)c(OC)c3)C(=O)N(c3ccc(OC)cc3)C2=S)cc1?,A,Which compound shows a higher molecular weight: c1ccc(CNC[C@@H](c2cccs2)N2CCOCC2)nc1 or COc1ccc(N2C(=O)C(=Cc3ccc(OCc4c(C)cc(C)cc4C)c(OC)c3)C(=O)N(c3ccc(OC)cc3)C2=S)cc1?,B
iupac,iupac,"Do (3,5-dimethyl-1,2-oxazol-4-yl)-[2-(1,3-thiazol-2-ylmethyl)-2,9-diazaspiro[5.5]undecan-9-yl]methanone and (3,5-dimethyl-1,2-oxazol-4-yl)-[2-(1,3-thiazol-2-ylmethyl)-2,9-diazaspiro[5.5]undecan-9-yl]methanone correspond to the same molecular structure?",0,Assess the chemical similarity of C=CCN1C(=O)/C(=C/c2cc(Cl)c(OCc3ccccc3Cl)c(OC)c2)SC1=S and CC(C)CCN1CCc2nnc(CO)n2CC1 to Cc1noc(C)c1C(=O)N1CCC2(CCCN(Cc3nccs3)C2)CC1. Which is more similar?,B,Determine whether C=CCN1C(=O)/C(=C/c2cc(Cl)c(OCc3ccccc3Cl)c(OC)c2)SC1=S or CC(C)CCN1CCc2nnc(CO)n2CC1 has the lower value of molecular weight.,B
iupac,iupac,"Do these two representations, N-[2-[2-(4-fluorophenyl)-4-methyl-1,3-thiazol-5-yl]ethyl]furan-2-carboxamide and N-[2-[2-(4-fluorophenyl)-4-methyl-1,3-thiazol-5-yl]ethyl]furan-2-carboxamide, describe the same molecule?",0,Which molecule is more chemically similar to Cc1nc(-c2ccc(F)cc2)sc1CCNC(=O)c1ccco1: Cc1ccc(CN2CCN(c3ccc(N4CC(Cn5ccnn5)OC4=O)cc3F)CC2)s1 or CCNC(c1ccccc1)c1cc(Br)cc(Br)c1?,A,Identify whether Cc1ccc(CN2CCN(c3ccc(N4CC(Cn5ccnn5)OC4=O)cc3F)CC2)s1 or CCNC(c1ccccc1)c1cc(Br)cc(Br)c1 has the higher molecular weight.,A
iupac,smiles,"Do these two representations, (2S,3S,4S,5R)-2-[[(2R,3S,4S,5S)-3,4-dihydroxy-5-[[(1S,2R,4S,5S)-4-methoxy-3,6-dioxabicyclo[3.1.0]hexan-2-yl]methoxy]oxolan-2-yl]methoxy]-5-(hydroxymethyl)oxolane-3,4-diol and [C@@H]1(O[C@@H]([C@H]([C@@H]1O)O)CO)OC[C@H]1O[C@@H]([C@@H](O)[C@@H]1O)OC[C@H]1O[C@H](OC)[C@@H]2[C@H]1O2, describe the same molecule?",1,Which compound more closely resembles CO[C@H]1O[C@H](CO[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)[C@@H](O)[C@@H]2O)[C@@H]2O[C@H]12: C#CC1C2C3C(=O)N1C32 or N=c1cnc(N)c(O)o1?,A,"Given C#CC1C2C3C(=O)N1C32 and N=c1cnc(N)c(O)o1, determine which has the lower molecular weight.",A
iupac,smiles,Are the chemical entities represented by 5-cyclopropyl-2H-tetrazole and C1C(c2n[nH]nn2)C1 the same?,1,"Which molecule shares greater structural similarity with C1CC1c1nn[nH]n1, Cc1nc(CC(=O)N[C@@H](c2ccc(C(C)(C)C)cc2)C(C)C)cs1 or OC12CC3CC(C1)C3C2?",B,"Between Cc1nc(CC(=O)N[C@@H](c2ccc(C(C)(C)C)cc2)C(C)C)cs1 and OC12CC3CC(C1)C3C2, which exhibits a higher molecular weight?",A
smiles,smiles,Assess whether C#Cc1ccon1 and c1cc(no1)C#C denote the same chemical substance.,1,Determine whether O=C1CC23CC4C2CC143 or Cc1cc(OCC2(CC(=O)N(C)Cc3ccccc3)CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)ccc1Cl is more chemically similar to C#Cc1ccon1.,B,Which compound shows a higher molecular weight: O=C1CC23CC4C2CC143 or Cc1cc(OCC2(CC(=O)N(C)Cc3ccccc3)CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)ccc1Cl?,B
iupac,smiles,"Do these two representations, 6-[(3-chlorophenyl)methylsulfanyl]-1,5-dihydropyrazolo[5,4-d]pyrimidin-4-one and S(c1nc(=O)c2c([nH]1)n[nH]c2)Cc1cc(ccc1)Cl, describe the same molecule?",1,"Between the two options, C/N=C(\NCCc1nc(C)no1)NC1CCN(c2cc(Cl)ccc2OC)C1 and CC1COC(OCC23CC4C(C)CCC4C4(C=O)CC2C=C(C(C)C)C43C(=O)O)CN1, which better matches O=c1nc(SCc2cccc(Cl)c2)[nH]c2n[nH]cc12 chemically?",A,Identify whether C/N=C(\NCCc1nc(C)no1)NC1CCN(c2cc(Cl)ccc2OC)C1 or CC1COC(OCC23CC4C(C)CCC4C4(C=O)CC2C=C(C(C)C)C43C(=O)O)CN1 has the higher molecular weight.,B
iupac,smiles,Verify whether 2-(4-bromobutyl)-6-chloro-3H-isoindol-1-one and c12c(C(=O)N(CCCCBr)C1)cc(Cl)cc2 correspond to an identical molecule.,1,Compare CCCCCNC(=O)C(Cc1ccc(OCC(=O)O)cc1)NC(=O)CCC(=O)O and C#CC1(C=O)CC(=O)N1 to O=C1c2cc(Cl)ccc2CN1CCCCBr. Which is more chemically similar?,A,Compare CCCCCNC(=O)C(Cc1ccc(OCC(=O)O)cc1)NC(=O)CCC(=O)O and C#CC1(C=O)CC(=O)N1 in terms of molecular weight. Which is higher?,A
iupac,smiles,Do (2S)-2-[[4-(5-chloro-2-fluoroanilino)-6-phenylpyrimidin-2-yl]amino]propan-1-ol and COc1ccc2nc(C)c(C(=O)Nc3ccc(C)c(C)c3)cc2c1 correspond to the same molecular structure?,0,Assess the chemical similarity of c1nc2n(n1)C1CC1O2 and Cc1ccc2c(N)c(C(=O)Nc3cc([N+](=O)[O-])ccc3Cl)sc2n1 to C[C@@H](CO)N=c1[nH]c(-c2ccccc2)cc(=Nc2cc(Cl)ccc2F)[nH]1. Which is more similar?,B,Assess the molecular weight of c1nc2n(n1)C1CC1O2 and Cc1ccc2c(N)c(C(=O)Nc3cc([N+](=O)[O-])ccc3Cl)sc2n1. Which one is higher?,B
iupac,smiles,Verify whether 4-[(2-cyclohexylpyrimidin-5-yl)methyl]morpholine-2-carboxylic acid and C1CCC(c2ncc(cn2)CN2CC(OCC2)C(O)=O)CC1 correspond to an identical molecule.,1,Determine whether O=C(c1cccnc1)C1CCCN(Cc2ccc3c(c2)CN(C(=O)c2cccs2)CCO3)C1 or Cc1ccccc1OCCn1c(=S)[nH]c2ccccc21 is more chemically similar to O=C(O)C1CN(Cc2cnc(C3CCCCC3)nc2)CCO1.,A,Which compound shows a lower molecular weight: O=C(c1cccnc1)C1CCCN(Cc2ccc3c(c2)CN(C(=O)c2cccs2)CCO3)C1 or Cc1ccccc1OCCn1c(=S)[nH]c2ccccc21?,B
iupac,smiles,"Assess whether 4-[5-(4-hydroxy-3-methoxyphenyl)-1,3,4-thiadiazol-2-yl]-5-iodobenzene-1,2-diol and COc1cc(-c2sc(nn2)-c2c(cc(O)c(c2)O)I)ccc1O denote the same chemical substance.",1,"Between Cc1cc(N2CCCC2)ccc1NC(=O)CN(C)CCOc1ccccc1Cl and CCCCOc1c(C=NN=C(N)N)ccc(C=NNC(=N)N)c1OCCCC, which is more similar in structure to COc1cc(-c2nnc(-c3cc(O)c(O)cc3I)s2)ccc1O?",A,Which compound shows a higher molecular weight: Cc1cc(N2CCCC2)ccc1NC(=O)CN(C)CCOc1ccccc1Cl or CCCCOc1c(C=NN=C(N)N)ccc(C=NNC(=N)N)c1OCCCC?,A
smiles,smiles,Do N#CC1C2NCC12C=O and CNC(=O)Cc1coc2cc(OS(=O)(=O)c3cccc(Cl)c3)ccc12 correspond to the same molecular structure?,0,"Between CCC(C=O)(CO)OC and CC(C)[C@@H](N)C(=O)OC(C)C(C)(C)C, which is more similar in structure to N#CC1C2NCC12C=O?",A,Which compound shows a higher molecular weight: CCC(C=O)(CO)OC or CC(C)[C@@H](N)C(=O)OC(C)C(C)(C)C?,B
iupac,smiles,"Given 5-(3-fluorophenyl)-10-(hydroxymethyl)-12-(3-methylphenyl)sulfonyl-6-oxo-7,12-diazatricyclo[7.2.1.02,7]dodeca-2,4-diene-11-carboxylic acid and c12n(CC3C(CO)C(C(=O)O)C1N3S(=O)(=O)c1cc(C)ccc1)c(=O)c(-c1cccc(c1)F)cc2, determine if they describe the same molecular structure.",1,"Given Cc1cccc(S(=O)(=O)N2C3Cn4c(ccc(-c5cccc(F)c5)c4=O)C2C(C(=O)O)C3CO)c1, select the molecule that is more chemically similar: Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCc3cccnc3)cc2)cc1 or ON=C1C=CCC12CN2.",A,"Between Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCc3cccnc3)cc2)cc1 and ON=C1C=CCC12CN2, which exhibits a lower molecular weight?",B
iupac,smiles,"Do 2-[(3-chlorophenyl)methylsulfanyl]-3-(2-methoxyphenyl)-5H-pyrimido[5,4-b]indol-4-one and CNc1coc(N)c1 correspond to the same molecular structure?",0,Assess the chemical similarity of CCOC(=O)Nc1cc2oc(=O)c(-c3ccccc3)nc2c(N)n1 and COC(=O)CC(C(=O)N1C(C(=O)CC(C)C)CC2CC21)C(C)C to COc1ccccc1-n1c(SCc2cccc(Cl)c2)nc2c([nH]c3ccccc32)c1=O. Which is more similar?,A,"Which molecule demonstrates a lower value for molecular weight, CCOC(=O)Nc1cc2oc(=O)c(-c3ccccc3)nc2c(N)n1 or COC(=O)CC(C(=O)N1C(C(=O)CC(C)C)CC2CC21)C(C)C?",B
iupac,smiles,"Are the chemical entities represented by N-[2-[[5-(2,2-dimethylpropanoyl)-1,3-thiazol-2-yl]-ethylamino]ethyl]-5-methylsulfonyl-2-propan-2-yloxybenzamide and CS(=O)(=O)c1cc(C(NCCN(CC)c2ncc(s2)C(=O)C(C)(C)C)=O)c(cc1)OC(C)C the same?",1,"Given CCN(CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC(C)C)c1ncc(C(=O)C(C)(C)C)s1, select the molecule that is more chemically similar: CC1(O)C2NC(=O)OC21 or CC12CC3C(C1)C32C.",A,"Given CC1(O)C2NC(=O)OC21 and CC12CC3C(C1)C32C, determine which has the higher molecular weight.",A
iupac,iupac,"Determine whether 8-(2,5-dimethylanilino)octanoic acid and 8-(2,5-dimethylanilino)octanoic acid refer to the same chemical compound.",0,Compare C1=NCc2[nH]cnc2N1 and CCn1cc(-c2nc(CC(=O)Nc3cc(Cl)ccc3OC)cs2)c2cccnc21 to Cc1ccc(C)c(NCCCCCCCC(=O)O)c1. Which is more chemically similar?,B,Compare C1=NCc2[nH]cnc2N1 and CCn1cc(-c2nc(CC(=O)Nc3cc(Cl)ccc3OC)cs2)c2cccnc21 in terms of molecular weight. Which is lower?,A
iupac,smiles,"Determine whether N-(3,4-dimethoxyphenyl)-3-(1,3,5,7-tetramethyl-2,4-dioxopyrido[2,3-d]pyrimidin-6-yl)propanamide and Nc1cc(Br)cc(F)c1OC(F)(F)F refer to the same chemical compound.",0,"Which molecule shares greater structural similarity with COc1ccc(NC(=O)CCc2c(C)nc3c(c2C)c(=O)n(C)c(=O)n3C)cc1OC, COc1ccc(C)cc1N(CC(=O)N(Cc1ccccc1)Cc1ccccc1)S(C)(=O)=O or NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2csc3ccccc23)cc1?",A,Identify whether COc1ccc(C)cc1N(CC(=O)N(Cc1ccccc1)Cc1ccccc1)S(C)(=O)=O or NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2csc3ccccc23)cc1 has the higher molecular weight.,A
iupac,iupac,"Do these two representations, 2-methylsulfanyl-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine-4-carboxylic acid and 2-methylsulfanyl-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine-4-carboxylic acid, describe the same molecule?",0,Compare CCn1cc(CNCc2ccn(C(F)F)n2)cn1 and CC1N(C)C1(C)C to CSc1nc2c(c(C(=O)O)n1)CCNC2. Which is more chemically similar?,B,Determine whether CCn1cc(CNCc2ccn(C(F)F)n2)cn1 or CC1N(C)C1(C)C has the higher value of molecular weight.,A
smiles,smiles,Are the chemical entities represented by C#CC12COC1CC2C and C1C2C(C1C)(C#C)CO2 the same?,1,Which molecule is more chemically similar to C#CC12COC1CC2C: CCCOc1cc(C)c2c(c1C)CC(C(C)C(=O)Nc1nccs1)CC2 or CC(C)Oc1ccc(C(F)(F)F)c2cc(C(=O)N(C)C(=N)N)[nH]c12.CS(=O)(=O)O?,A,"Given CCCOc1cc(C)c2c(c1C)CC(C(C)C(=O)Nc1nccs1)CC2 and CC(C)Oc1ccc(C(F)(F)F)c2cc(C(=O)N(C)C(=N)N)[nH]c12.CS(=O)(=O)O, determine which has the higher molecular weight.",B
iupac,smiles,"Assess whether 2-(3,4-dimethylphenyl)-N-[(4-sulfamoylphenyl)methyl]quinoline-4-carboxamide and COCCOC(=O)C1C(C)=NC2=C(C(=O)C[C@@H](c3ccc(OC)c(OC)c3)C2)[C@H]1c1cccc(Cl)c1 denote the same chemical substance.",0,"Between the two options, CS(=O)(=O)CCN1CCC[C@H]1[C@@H]1CCCN1Cc1ccccc1 and O=CC(O)c1c[nH]nn1, which better matches Cc1ccc(-c2cc(C(=O)NCc3ccc(S(N)(=O)=O)cc3)c3ccccc3n2)cc1C chemically?",A,Identify whether CS(=O)(=O)CCN1CCC[C@H]1[C@@H]1CCCN1Cc1ccccc1 or O=CC(O)c1c[nH]nn1 has the lower molecular weight.,B
iupac,smiles,"Is the molecule described by 3-(2,3,3a,4,5,6,7,7a-octahydro-1-benzofuran-4-ylamino)-1-(2-methoxyphenyl)pyrrolidin-2-one identical to the one described by Nc1ncnc2ncn(C3CC(O)C(O)C(CO)O3)c12?",0,Which compound more closely resembles COc1ccccc1N1CCC(NC2CCCC3OCCC23)C1=O: CCC[C@@H](Nc1ccc(Oc2ccc(C)cc2)cc1)C(=O)O or CC(CC#N)OCC=O?,A,Assess the molecular weight of CCC[C@@H](Nc1ccc(Oc2ccc(C)cc2)cc1)C(=O)O and CC(CC#N)OCC=O. Which one is lower?,B
iupac,iupac,"Given 1-(2,6-dichlorophenyl)-N-[(1R)-1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]methanesulfonamide and 1-(2,6-dichlorophenyl)-N-[(1R)-1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]methanesulfonamide, determine if they describe the same molecular structure.",0,"Between CCOC(=O)c1c(-c2ccc(Cl)cc2)csc1NC(=O)CNCc1ccco1.O=C(O)C(=O)O and CC1=C(N)CCNC1=O, which is more similar in structure to C[C@@H](NS(=O)(=O)Cc1c(Cl)cccc1Cl)c1ccc2c(c1)OCCO2?",A,"For the property molecular weight, which molecule is higher: CCOC(=O)c1c(-c2ccc(Cl)cc2)csc1NC(=O)CNCc1ccco1.O=C(O)C(=O)O or CC1=C(N)CCNC1=O?",A
iupac,smiles,"Determine whether N-[4,5-dimethyl-3-[(4-pyridin-2-ylpiperazin-1-yl)methyl]thiophen-2-yl]benzamide and N(c1sc(C)c(c1CN1CCN(CC1)c1ccccn1)C)C(c1ccccc1)=O refer to the same chemical compound.",1,Determine whether CC(=O)c1ccc2c(c1)OCCOCCOc1ccc(C(C)=O)cc1OCCOCCO2 or CCN1C(=O)/C(=C/c2cn(Cc3ccc([N+](=O)[O-])cc3)c3ccccc23)N(C)C1=S is more chemically similar to Cc1sc(NC(=O)c2ccccc2)c(CN2CCN(c3ccccn3)CC2)c1C.,A,"For the property molecular weight, which molecule is lower: CC(=O)c1ccc2c(c1)OCCOCCOc1ccc(C(C)=O)cc1OCCOCCO2 or CCN1C(=O)/C(=C/c2cn(Cc3ccc([N+](=O)[O-])cc3)c3ccccc23)N(C)C1=S?",B
smiles,smiles,Are the chemical entities represented by OC1CC2N3CC3C12O and CCOc1ccc(N(CC(=O)N(Cc2cccc(OC)c2)[C@@H](C)C(=O)NCC(C)C)S(C)(=O)=O)cc1 the same?,0,"Between CN1CC12C1OC2C1O and O=C(OC[C@H]1CCCN2CCCC[C@@H]12)c1ccc2c(c1)OCO2, which is more similar in structure to OC1CC2N3CC3C12O?",A,Compare CN1CC12C1OC2C1O and O=C(OC[C@H]1CCCN2CCCC[C@@H]12)c1ccc2c(c1)OCO2 in terms of molecular weight. Which is lower?,A
smiles,smiles,Determine whether COC(=O)c1ccc(-c2c(C#N)[n+]([O-])c3cc(Cl)c(Cl)cc3[n+]2[O-])cc1 and O=C(CCC1CCCC1)c1ccc(OC(F)(F)F)cc1 refer to the same chemical compound.,0,Assess the chemical similarity of COc1cc(C=C2CCCC(=Cc3ccccc3Cl)C2=O)cc(OC)c1 and COC(=O)c1c(OC(C)=O)ccc2c1c1c(OC(C)=O)c3ccccc3c(OC(C)=O)c1n2Cc1cc(OC)cc(OC)c1 to COC(=O)c1ccc(-c2c(C#N)[n+]([O-])c3cc(Cl)c(Cl)cc3[n+]2[O-])cc1. Which is more similar?,A,Identify whether COc1cc(C=C2CCCC(=Cc3ccccc3Cl)C2=O)cc(OC)c1 or COC(=O)c1c(OC(C)=O)ccc2c1c1c(OC(C)=O)c3ccccc3c(OC(C)=O)c1n2Cc1cc(OC)cc(OC)c1 has the higher molecular weight.,B
iupac,smiles,Verify whether 2-(2-aminoethylamino)-N-(3-bromophenyl)acetamide and C(CN)NCC(Nc1cc(Br)ccc1)=O correspond to an identical molecule.,1,Compare CC(C)(CC(=O)O)NC(=O)C(NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccccc1 and C=CCN1CC2(CCC1=O)CCN(C(=O)c1ncoc1C)CC2 to NCCNCC(=O)Nc1cccc(Br)c1. Which is more chemically similar?,A,Identify whether CC(C)(CC(=O)O)NC(=O)C(NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccccc1 or C=CCN1CC2(CCC1=O)CCN(C(=O)c1ncoc1C)CC2 has the higher molecular weight.,A
iupac,iupac,"Are the chemical entities represented by 17-methoxy-21-octyl-16-phenylmethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene and 17-methoxy-21-octyl-16-phenylmethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene the same?",1,Compare NS(=O)(=O)c1ccc(C(=O)NCC(c2ccccc2)c2ccccc2)o1 and O=C(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COCc2ccccc2C(=O)O)C2O[C@H](/C=C/c3ccccc3)O[C@@H]21)NC1CCCC1 to CCCCCCCCc1c2[n+](cc3c(OCc4ccccc4)c(OC)ccc13)CCc1cc3c(cc1-2)OCO3. Which is more chemically similar?,A,Assess the molecular weight of NS(=O)(=O)c1ccc(C(=O)NCC(c2ccccc2)c2ccccc2)o1 and O=C(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COCc2ccccc2C(=O)O)C2O[C@H](/C=C/c3ccccc3)O[C@@H]21)NC1CCCC1. Which one is lower?,A
iupac,smiles,"Determine whether N-[1-[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-3-hydroxytetracosan-2-yl]acetamide and O=C(Nn1cnc2c(cnn2-c2ccc(F)cc2)c1=O)c1c(F)cccc1Cl refer to the same chemical compound.",0,Identify which molecule is more similar to CCCCCCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(C)=O: OCc1ccc(CNC23CC4CC(CC(C4)C2)C3)cc1 or NC[C@H]1CCN(C(=O)c2c(Cl)nc3ccccn23)C1.,A,Compare OCc1ccc(CNC23CC4CC(CC(C4)C2)C3)cc1 and NC[C@H]1CCN(C(=O)c2c(Cl)nc3ccccn23)C1 in terms of molecular weight. Which is lower?,A
iupac,smiles,Do the two chemical representations 2-[(2R)-1-cyclopentyl-3-oxopiperazin-2-yl]-N-[2-(furan-2-yl)ethyl]acetamide and N1CCN(C2CCCC2)[C@H](CC(=O)NCCc2occc2)C1=O describe the same molecule?,1,"Which molecule shares greater structural similarity with O=C(C[C@@H]1C(=O)NCCN1C1CCCC1)NCCc1ccco1, C/C(=N\OC(=O)c1ccc(C(F)(F)F)cc1)c1oc(C)nc1C or Cc1ccc([C@H](C)NC(=O)[C@@H]2CCCN(S(=O)(=O)Cc3ccc(Cl)c(Cl)c3)C2)cc1?",B,Determine whether C/C(=N\OC(=O)c1ccc(C(F)(F)F)cc1)c1oc(C)nc1C or Cc1ccc([C@H](C)NC(=O)[C@@H]2CCCN(S(=O)(=O)Cc3ccc(Cl)c(Cl)c3)C2)cc1 has the lower value of molecular weight.,A
